商品ID,商品名称,商品类别,价格,库存,销量,评分,评论数,上架周期,上架日期
PROD000039,无线耳机,智能家居,181.79,59,33,5,25,8,2024/6/10
PROD000040,机械键盘,投影设备,160.21,45,33,4,22,30,2024/5/19
PROD000041,耳机,数码配件,54.11,53,37,4.5,19,8,2024/6/10
PROD000042,显示器,影音娱乐,271.52,47,24,4.3,35,1,2024/6/17
PROD000043,平板电脑,存储设备,220.74,50,19,4.8,18,13,2024/6/5
PROD000044,机械键盘,数码配件,337.63,50,39,3.7,18,16,2024/6/2
PROD000045,平板电脑,电源配件,67.54,47,26,4.1,14,3,2024/6/15
PROD000046,充电宝,电脑办公,60.72,47,31,4,25,2,2024/6/16
PROD000047,数码相机,电脑办公,142.83,42,25,4.8,25,19,2024/5/30
PROD000048,耳机,投影设备,81.99,52,31,4,17,2,2024/6/16
PROD000049,鼠标,外设产品,127.43,47,34,4.2,26,1,2024/6/17
PROD000050,智能手表,外设产品,126.35,46,31,3.6,15,20,2024/5/29
PROD000051,充电宝,电脑办公,143.43,53,40,5,17,28,2024/5/21
PROD000052,数码相机,手机通讯,80.75,48,28,4.5,15,2,2024/6/16
PROD000053,鼠标,手机通讯,102.67,51,36,3.9,29,25,2024/5/24
PROD000054,充电器,外设产品,146.89,48,27,3.9,10,28,2024/5/21
PROD000055,笔记本电脑,手机通讯,89.71,49,30,3.7,26,7,2024/6/11
PROD000056,数码相机,手机通讯,185.73,50,27,5,20,26,2024/5/23
PROD000057,内存条,外设产品,467.23,61,32,3.8,22,18,2024/5/31
PROD000058,智能手机,数码配件,99.84,51,34,4.2,24,9,2024/6/9
PROD000059,充电器,数码配件,154.65,64,32,3.6,17,22,2024/5/27
PROD000060,显示器,手机通讯,107.13,54,35,3.8,17,19,2024/5/30
PROD000061,数据线,外设产品,87.36,52,34,4.3,13,8,2024/6/10
PROD000062,投影仪,存储设备,156.26,59,33,4.1,19,27,2024/5/22
PROD000063,打印机,存储设备,229.36,49,19,4.1,19,20,2024/5/29
PROD000064,电视,数码配件,287.04,58,22,4.1,20,4,2024/6/14
PROD000065,笔记本电脑,数码配件,97.89,48,27,4.1,14,15,2024/6/3
PROD000066,鼠标,投影设备,178.86,38,27,4.4,23,15,2024/6/3
PROD000067,打印机,影音娱乐,438.37,43,25,4.8,18,27,2024/5/22
PROD000068,内存条,电脑办公,137.88,57,25,3.8,9,11,2024/6/7
PROD000069,智能手机,电脑办公,492.57,46,32,4.2,27,11,2024/6/7
PROD000070,笔记本电脑,数码配件,94.22,54,19,4.1,15,2,2024/6/16
PROD000071,耳机,电脑办公,56.82,56,31,4,15,5,2024/6/13
PROD000072,智能手表,影音娱乐,345.45,49,41,4.6,15,19,2024/5/30
PROD000073,蓝牙音箱,家用电器,175.96,52,28,4.3,21,18,2024/5/31
PROD000074,充电宝,影音娱乐,122.73,53,36,5,15,1,2024/6/17
PROD000075,机械键盘,手机通讯,291.72,53,26,3.5,20,26,2024/5/23
PROD000076,内存条,手机通讯,292.32,52,30,4.6,14,22,2024/5/27
PROD000077,数据线,数码配件,208.7,47,39,3.3,23,11,2024/6/7
PROD000078,无线耳机,电脑办公,87.9,56,25,5,16,25,2024/5/24
PROD000079,充电宝,数码配件,109.68,57,25,4.5,17,25,2024/5/24
PROD000080,蓝牙音箱,外设产品,169.82,61,13,4.9,20,25,2024/5/24
PROD000081,电视,智能家居,369.57,57,28,4.3,24,30,2024/5/19
PROD000082,路由器,电脑办公,170.84,56,32,4.1,19,10,2024/6/8
PROD000083,路由器,外设产品,119.24,58,35,4.3,20,6,2024/6/12
PROD000084,打印机,家用电器,298.49,45,27,3.9,22,21,2024/5/28
PROD000085,数据线,外设产品,86.46,34,30,4.3,14,17,2024/6/1
PROD000086,蓝牙音箱,电源配件,100.95,49,28,4.8,11,4,2024/6/14
PROD000087,笔记本电脑,电源配件,115.08,47,31,4.3,21,18,2024/5/31
PROD000088,笔记本电脑,影音娱乐,274.62,44,28,5,15,12,2024/6/6
PROD000089,打印机,电脑办公,50,47,34,4.9,17,4,2024/6/14
PROD000090,路由器,电源配件,135.95,65,31,4.4,24,19,2024/5/30
PROD000091,固态硬盘,数码配件,137.19,41,30,4.2,22,23,2024/5/26
PROD000092,智能手表,电脑办公,227.03,54,28,4.2,18,28,2024/5/21
PROD000093,智能手机,数码配件,79.49,50,27,4.3,13,19,2024/5/30
PROD000094,充电宝,手机通讯,112.23,66,48,2.5,17,27,2024/5/22
PROD000095,电视,存储设备,135.42,50,26,5,11,7,2024/6/11
PROD000096,内存条,手机通讯,50,64,41,3.3,23,18,2024/5/31
PROD000097,路由器,手机通讯,274.92,40,38,3.5,28,13,2024/6/5
PROD000098,充电宝,存储设备,230.09,54,25,4.8,18,3,2024/6/15
PROD000099,内存条,电源配件,99.57,59,32,4.7,18,26,2024/5/23
PROD000100,耳机,电源配件,169.42,42,26,3.4,22,20,2024/5/29
PROD000101,电视,家用电器,218.43,53,25,4.2,19,15,2024/6/3
PROD000102,笔记本电脑,家用电器,246.9,37,21,4.1,12,1,2024/6/17
PROD000103,智能手机,投影设备,246.98,49,28,4.1,29,21,2024/5/28
PROD000104,显示器,投影设备,210.03,48,27,4.3,26,22,2024/5/27
PROD000105,数据线,影音娱乐,256.71,39,30,3.9,16,8,2024/6/10
PROD000106,机械键盘,投影设备,198.35,45,41,3.1,19,5,2024/6/13
PROD000107,机械键盘,影音娱乐,76.69,50,31,3,24,14,2024/6/4
PROD000108,蓝牙音箱,手机通讯,163.88,57,26,4.2,22,11,2024/6/7
PROD000109,智能手机,电脑办公,125.9,56,27,3.7,23,16,2024/6/2
PROD000110,路由器,电脑办公,158.02,53,29,4.5,21,12,2024/6/6
PROD000111,内存条,影音娱乐,71.73,53,27,2.9,20,21,2024/5/28
PROD000112,智能手机,数码配件,50,50,25,4.3,24,16,2024/6/2
PROD000113,投影仪,投影设备,381.32,36,19,4.4,27,28,2024/5/21
PROD000114,智能手机,数码配件,179.95,52,31,4.6,19,23,2024/5/26
PROD000115,鼠标,智能家居,236.53,50,37,4.5,17,10,2024/6/8
PROD000116,充电宝,家用电器,310.18,48,27,4.3,23,18,2024/5/31
PROD000117,智能手机,影音娱乐,97.79,62,32,4,17,12,2024/6/6
PROD000118,打印机,手机通讯,173.15,55,23,4.2,22,11,2024/6/7
PROD000119,内存条,手机通讯,143.22,61,17,4.7,14,4,2024/6/14
PROD000120,笔记本电脑,存储设备,196.37,47,27,4.6,28,29,2024/5/20
PROD000121,智能手机,影音娱乐,67.78,50,24,4.7,28,4,2024/6/14
PROD000122,内存条,数码配件,186.78,56,26,4.5,24,21,2024/5/28
PROD000123,内存条,智能家居,165.46,55,32,4.9,19,5,2024/6/13
PROD000124,固态硬盘,投影设备,128.15,64,17,4,15,7,2024/6/11
PROD000125,智能手表,手机通讯,61.35,45,30,3.9,28,13,2024/6/5
PROD000126,路由器,手机通讯,299.02,39,27,4.6,21,15,2024/6/3
PROD000127,鼠标,手机通讯,127.16,58,29,4.1,17,20,2024/5/29
PROD000128,平板电脑,投影设备,84.2,50,28,5,19,4,2024/6/14
PROD000129,笔记本电脑,外设产品,73.34,53,30,4.1,16,11,2024/6/7
PROD000130,路由器,电源配件,231.04,43,28,4,22,5,2024/6/13
PROD000131,数据线,手机通讯,104.92,50,37,4.2,14,6,2024/6/12
PROD000132,笔记本电脑,电脑办公,86.24,47,38,3.7,27,5,2024/6/13
PROD000133,智能手机,电脑办公,130.99,54,29,4.6,22,22,2024/5/27
PROD000134,鼠标,存储设备,182.18,40,37,4.6,27,18,2024/5/31
PROD000135,充电宝,外设产品,372.03,42,26,4,23,12,2024/6/6
PROD000136,电视,外设产品,78.15,53,36,4,21,22,2024/5/27
PROD000137,路由器,外设产品,209.43,52,43,4.2,26,14,2024/6/4
PROD000138,充电宝,电脑办公,264.07,39,26,4.1,21,3,2024/6/15
PROD000139,固态硬盘,存储设备,261.06,45,31,4.1,29,12,2024/6/6
PROD000140,蓝牙音箱,数码配件,226.88,50,26,4.7,18,13,2024/6/5
PROD000141,路由器,影音娱乐,167.01,54,26,3.6,23,29,2024/5/20
PROD000142,耳机,智能家居,552.7,41,31,4.7,23,5,2024/6/13
PROD000143,固态硬盘,电脑办公,193.71,32,36,4.3,17,6,2024/6/12
PROD000144,充电宝,外设产品,224.1,55,34,4.4,21,16,2024/6/2
PROD000145,数据线,家用电器,269.85,52,39,4.4,20,6,2024/6/12
PROD000146,平板电脑,家用电器,142.86,51,33,4.8,18,29,2024/5/20
PROD000147,鼠标,电脑办公,114.38,63,28,4.4,19,7,2024/6/11
PROD000148,电视,外设产品,105.55,67,29,3.7,21,3,2024/6/15
PROD000149,笔记本电脑,智能家居,136.41,59,18,4.3,22,3,2024/6/15
PROD000150,充电器,影音娱乐,141.81,55,32,3.9,23,2,2024/6/16
PROD000151,充电宝,电脑办公,87.41,51,38,4.8,19,6,2024/6/12
PROD000152,充电宝,影音娱乐,92.01,62,35,4.2,18,28,2024/5/21
PROD000153,蓝牙音箱,数码配件,347.08,47,37,4.5,12,5,2024/6/13
PROD000154,数据线,投影设备,322.6,48,24,4.5,20,25,2024/5/24
PROD000155,数据线,投影设备,428.33,46,28,4,15,17,2024/6/1
PROD000156,数码相机,电源配件,221.22,45,35,4.2,19,9,2024/6/9
PROD000157,投影仪,数码配件,159.63,58,35,3.9,17,23,2024/5/26
PROD000158,智能手表,电脑办公,190.1,50,31,4,16,29,2024/5/20
PROD000159,路由器,投影设备,92.14,44,34,3.6,21,9,2024/6/9
PROD000160,内存条,存储设备,85.16,45,31,3.7,20,2,2024/6/16
PROD000161,固态硬盘,电脑办公,121.23,44,27,3.6,23,20,2024/5/29
PROD000162,内存条,数码配件,170.46,42,29,3.5,16,4,2024/6/14
PROD000163,数码相机,电脑办公,82.62,47,28,3.7,13,23,2024/5/26
PROD000164,平板电脑,存储设备,116.64,48,21,5,13,8,2024/6/10
PROD000165,智能手表,手机通讯,125.52,49,24,4.3,10,2,2024/6/16
PROD000166,智能手机,手机通讯,211.67,38,38,4.8,10,6,2024/6/12
PROD000167,平板电脑,影音娱乐,127.25,46,29,4.1,19,5,2024/6/13
PROD000168,内存条,影音娱乐,143.07,50,26,4.2,25,27,2024/5/22
PROD000169,智能手表,电脑办公,137.51,51,27,3.6,18,11,2024/6/7
PROD000170,投影仪,家用电器,132.77,51,28,4.1,20,6,2024/6/12
PROD000171,耳机,投影设备,176.08,48,39,3.8,27,12,2024/6/6
PROD000172,无线耳机,外设产品,125.77,49,37,4.6,13,15,2024/6/3
PROD000173,内存条,存储设备,122.05,39,39,4.1,22,25,2024/5/24
PROD000174,内存条,数码配件,127.74,47,34,3.8,23,13,2024/6/5
PROD000175,固态硬盘,存储设备,79.01,52,30,4.3,18,13,2024/6/5
PROD000176,智能手机,家用电器,234.44,52,23,4.6,23,2,2024/6/16
PROD000177,充电器,电源配件,155.43,45,33,4.1,20,20,2024/5/29
PROD000178,路由器,电源配件,106.89,43,22,4.3,22,10,2024/6/8
PROD000179,智能手机,手机通讯,95.17,58,33,4.8,23,1,2024/6/17
PROD000180,平板电脑,家用电器,83.69,42,33,3.9,17,13,2024/6/5
PROD000181,电视,投影设备,336.7,37,32,3.6,21,21,2024/5/28
PROD000182,数码相机,智能家居,220,55,33,5,14,7,2024/6/11
PROD000183,笔记本电脑,影音娱乐,112.62,55,41,4.5,16,18,2024/5/31
PROD000184,蓝牙音箱,投影设备,218.42,50,26,4.5,22,13,2024/6/5
PROD000185,耳机,智能家居,312.28,62,20,4.1,23,13,2024/6/5
PROD000186,投影仪,智能家居,158.71,50,34,4.2,20,3,2024/6/15
PROD000187,数码相机,手机通讯,92.71,50,33,3.9,13,24,2024/5/25
PROD000188,路由器,电脑办公,159.11,50,35,4,20,22,2024/5/27
PROD000189,平板电脑,智能家居,114.44,46,20,4.2,21,10,2024/6/8
PROD000190,智能手表,电脑办公,165.23,48,29,4.2,15,1,2024/6/17
PROD000191,内存条,影音娱乐,178.17,63,31,3.7,15,29,2024/5/20
PROD000192,充电宝,手机通讯,56.79,46,28,4,17,5,2024/6/13
PROD000193,显示器,手机通讯,82.54,36,26,4.7,28,29,2024/5/20
PROD000194,数码相机,手机通讯,228.14,43,35,4.5,13,7,2024/6/11
PROD000195,打印机,投影设备,197.16,36,39,3.1,16,26,2024/5/23
PROD000196,耳机,手机通讯,101.71,48,32,4.6,19,17,2024/6/1
PROD000197,机械键盘,投影设备,76.72,61,30,5,19,10,2024/6/8
PROD000198,投影仪,数码配件,121.11,48,42,4.1,27,29,2024/5/20
PROD000199,路由器,投影设备,64.24,54,35,4.4,19,6,2024/6/12
PROD000200,笔记本电脑,影音娱乐,313.53,49,34,3.9,22,5,2024/6/13
PROD000201,充电器,外设产品,282.6,42,39,5,19,22,2024/5/27
PROD000202,智能手机,智能家居,195.05,42,38,4.2,20,20,2024/5/29
PROD000203,内存条,存储设备,215.67,54,37,4.1,20,26,2024/5/23
PROD000204,平板电脑,智能家居,129.11,50,31,4.6,23,28,2024/5/21
PROD000205,数据线,家用电器,75.9,53,25,4.1,17,19,2024/5/30
PROD000206,耳机,手机通讯,52.85,48,40,4.2,23,20,2024/5/29
PROD000207,鼠标,家用电器,242.99,47,30,3.4,16,29,2024/5/20
PROD000208,智能手表,存储设备,349,51,39,4.6,16,23,2024/5/26
PROD000209,打印机,手机通讯,184.21,50,28,4.2,14,27,2024/5/22
PROD000210,机械键盘,投影设备,213.41,57,28,4.4,21,22,2024/5/27
PROD000211,电视,影音娱乐,153.79,54,23,4.1,18,23,2024/5/26
PROD000212,充电宝,电脑办公,142.81,46,28,3.5,16,7,2024/6/11
PROD000213,智能手机,电脑办公,243.38,44,29,4,18,26,2024/5/23
PROD000214,显示器,数码配件,100,52,26,2.8,16,12,2024/6/6
PROD000215,耳机,智能家居,137.88,40,27,4.3,22,11,2024/6/7
PROD000216,路由器,家用电器,124.55,43,34,5,23,5,2024/6/13
PROD000217,机械键盘,电源配件,72.05,41,30,4.1,24,25,2024/5/24
PROD000218,打印机,外设产品,112.61,43,31,4.2,17,16,2024/6/2
PROD000219,鼠标,数码配件,63.6,56,22,4.3,19,1,2024/6/17
PROD000220,数码相机,手机通讯,174.38,49,29,3.3,20,15,2024/6/3
PROD000221,笔记本电脑,电脑办公,140.18,45,33,4.7,19,13,2024/6/5
PROD000222,内存条,电脑办公,55.85,45,47,4.7,22,21,2024/5/28
PROD000223,打印机,投影设备,239.04,50,27,4.3,18,24,2024/5/25
PROD000224,数码相机,投影设备,124,49,24,3.9,18,25,2024/5/24
PROD000225,数码相机,影音娱乐,351.99,51,22,4.5,17,19,2024/5/30
PROD000226,智能手表,外设产品,310.82,57,23,4.4,21,10,2024/6/8
PROD000227,机械键盘,电源配件,109.92,44,24,4.8,20,8,2024/6/10
PROD000228,数码相机,外设产品,148.86,58,34,4.8,24,25,2024/5/24
PROD000229,电视,存储设备,109.44,40,35,3.9,27,6,2024/6/12
PROD000230,平板电脑,电源配件,58.56,49,29,3.8,26,9,2024/6/9
PROD000231,智能手机,电源配件,193.69,59,27,4.4,25,19,2024/5/30
PROD000232,充电宝,家用电器,147.37,38,25,4.7,21,1,2024/6/17
PROD000233,笔记本电脑,外设产品,124.66,48,39,4.1,18,14,2024/6/4
PROD000234,智能手机,影音娱乐,137.38,35,33,4.8,24,18,2024/5/31
PROD000235,平板电脑,家用电器,126.02,52,25,4.4,23,12,2024/6/6
PROD000236,无线耳机,家用电器,97.36,47,29,4.5,14,2,2024/6/16
PROD000237,笔记本电脑,投影设备,192.12,46,33,4.5,20,24,2024/5/25
PROD000238,固态硬盘,手机通讯,290.16,50,28,3.9,28,22,2024/5/27
PROD000239,智能手表,投影设备,154.1,52,29,3.8,26,16,2024/6/2
PROD000240,鼠标,家用电器,88.05,40,29,3.6,15,24,2024/5/25
PROD000241,投影仪,电源配件,80.72,49,24,4.2,19,13,2024/6/5
PROD000242,蓝牙音箱,手机通讯,369.86,42,20,5,22,20,2024/5/29
PROD000243,固态硬盘,存储设备,97.56,51,31,5,23,18,2024/5/31
PROD000244,充电宝,电脑办公,141.51,54,33,4.4,14,3,2024/6/15
PROD000245,电视,电源配件,102.91,41,24,3.8,19,16,2024/6/2
PROD000246,显示器,投影设备,171.19,43,27,5,27,20,2024/5/29
PROD000247,投影仪,投影设备,210.41,34,26,4.5,11,9,2024/6/9
PROD000248,平板电脑,存储设备,132.95,46,40,4.4,18,8,2024/6/10
PROD000249,显示器,影音娱乐,140.91,41,32,3.9,23,3,2024/6/15
PROD000250,智能手表,投影设备,78.68,66,35,3.7,22,4,2024/6/14
PROD000251,充电器,存储设备,93.92,37,26,4.4,23,30,2024/5/19
PROD000252,充电宝,数码配件,224.99,39,25,4,17,13,2024/6/5
PROD000253,内存条,投影设备,67.06,44,35,3.1,25,15,2024/6/3
PROD000254,投影仪,投影设备,231.2,54,25,4.9,20,1,2024/6/17
PROD000255,路由器,电脑办公,73.85,42,29,4.1,21,23,2024/5/26
PROD000256,平板电脑,数码配件,281.12,56,31,4.9,18,14,2024/6/4
PROD000257,内存条,影音娱乐,208.39,46,23,4.9,17,17,2024/6/1
PROD000258,鼠标,智能家居,209.39,60,31,3.6,17,2,2024/6/16
PROD000259,电视,存储设备,147.57,44,38,4.5,21,28,2024/5/21
PROD000260,充电宝,家用电器,136.86,49,23,4.5,23,18,2024/5/31
PROD000261,智能手机,数码配件,151.16,46,32,5,16,5,2024/6/13
PROD000262,路由器,家用电器,91.24,51,33,4.6,18,23,2024/5/26
PROD000263,智能手表,智能家居,131.6,49,33,4.5,15,19,2024/5/30
PROD000264,笔记本电脑,存储设备,74.96,52,23,4.5,19,16,2024/6/2
PROD000265,电视,电脑办公,144.41,62,26,3.6,28,7,2024/6/11
PROD000266,内存条,投影设备,113.22,50,27,3.8,22,28,2024/5/21
PROD000267,电视,投影设备,220.85,45,26,4.4,17,16,2024/6/2
PROD000268,耳机,电源配件,176.78,51,25,4.3,15,12,2024/6/6
PROD000269,充电器,影音娱乐,133.85,52,32,4.2,18,2,2024/6/16
PROD000270,显示器,家用电器,200.54,54,33,4.1,23,21,2024/5/28
PROD000271,数据线,数码配件,167.19,52,31,4.4,22,16,2024/6/2
PROD000272,投影仪,家用电器,163.48,38,35,3.8,19,2,2024/6/16
PROD000273,数码相机,电源配件,144.05,50,29,4.3,15,22,2024/5/27
PROD000274,蓝牙音箱,家用电器,187.12,68,28,4.9,27,3,2024/6/15
PROD000275,充电器,影音娱乐,111.69,63,28,4.5,26,18,2024/5/31
PROD000276,无线耳机,电脑办公,216.84,51,32,3.8,21,3,2024/6/15
PROD000277,耳机,电脑办公,210.47,49,29,4,24,22,2024/5/27
PROD000278,笔记本电脑,影音娱乐,202.71,42,24,4.5,16,10,2024/6/8
PROD000279,打印机,电脑办公,173.81,51,32,4.7,19,30,2024/5/19
PROD000280,智能手表,外设产品,177.4,39,18,3.5,29,27,2024/5/22
PROD000281,数码相机,手机通讯,207.44,54,26,5,24,3,2024/6/15
PROD000282,投影仪,外设产品,250.64,51,28,3.5,13,1,2024/6/17
PROD000283,充电宝,手机通讯,129.08,52,34,3.9,21,6,2024/6/12
PROD000284,充电宝,电脑办公,97.08,55,27,4.6,16,6,2024/6/12
PROD000285,数据线,电源配件,120.81,43,28,3.8,21,8,2024/6/10
PROD000286,智能手表,外设产品,68.2,48,21,4.1,22,2,2024/6/16
PROD000287,固态硬盘,影音娱乐,164.19,46,34,4.5,20,29,2024/5/20
PROD000288,充电器,智能家居,214.65,53,32,4.2,28,16,2024/6/2
PROD000289,投影仪,数码配件,131.36,42,34,4.5,20,22,2024/5/27
PROD000290,鼠标,存储设备,115.33,56,30,4,20,3,2024/6/15
PROD000291,无线耳机,智能家居,123.89,54,23,4.1,16,25,2024/5/24
PROD000292,电视,智能家居,247.04,55,30,3.9,25,28,2024/5/21
PROD000293,机械键盘,家用电器,265.21,61,32,4.3,24,29,2024/5/20
PROD000294,耳机,电脑办公,396.85,58,27,3.9,21,23,2024/5/26
PROD000295,显示器,手机通讯,81.82,53,29,4.4,23,26,2024/5/23
PROD000296,内存条,数码配件,111.82,53,26,3.8,18,18,2024/5/31
PROD000297,充电宝,存储设备,187.49,43,33,5,17,18,2024/5/31
PROD000298,鼠标,智能家居,170.31,53,46,4.4,27,22,2024/5/27
PROD000299,平板电脑,电源配件,398.1,49,31,4.1,26,7,2024/6/11
PROD000300,充电器,存储设备,225.73,43,31,3.8,21,12,2024/6/6
PROD000301,充电宝,影音娱乐,140.82,45,31,4.8,25,21,2024/5/28
PROD000302,蓝牙音箱,电脑办公,80.96,44,29,4.5,15,11,2024/6/7
PROD000303,耳机,影音娱乐,132.78,48,29,4.1,15,21,2024/5/28
PROD000304,平板电脑,电脑办公,122.41,44,27,3.9,16,2,2024/6/16
PROD000305,智能手机,家用电器,318.53,55,37,5,11,26,2024/5/23
PROD000306,固态硬盘,投影设备,97.89,42,32,4.9,33,30,2024/5/19
PROD000307,充电器,智能家居,170.45,43,26,3.9,19,26,2024/5/23
PROD000308,充电器,投影设备,89.94,48,21,3.5,23,27,2024/5/22
PROD000309,打印机,外设产品,142.96,40,29,4,18,23,2024/5/26
PROD000310,无线耳机,影音娱乐,107.98,63,29,3.4,16,6,2024/6/12
PROD000311,智能手表,手机通讯,148.11,60,21,4.3,26,11,2024/6/7
PROD000312,机械键盘,存储设备,92.86,51,31,4.1,22,1,2024/6/17
PROD000313,显示器,电脑办公,60.01,62,24,3.7,14,15,2024/6/3
PROD000314,数据线,外设产品,78.63,52,28,4.5,17,22,2024/5/27
PROD000315,笔记本电脑,家用电器,153.79,54,31,4.4,17,16,2024/6/2
PROD000316,笔记本电脑,影音娱乐,294.12,47,29,4.7,21,15,2024/6/3
PROD000317,无线耳机,电源配件,223.26,47,19,4.1,16,29,2024/5/20
PROD000318,数码相机,投影设备,110.18,46,44,4.5,22,2,2024/6/16
PROD000319,智能手表,电脑办公,185.25,46,30,5,17,19,2024/5/30
PROD000320,耳机,电脑办公,149.85,50,27,2.9,19,11,2024/6/7
PROD000321,机械键盘,电源配件,285.91,47,38,4.6,25,14,2024/6/4
PROD000322,平板电脑,存储设备,146.96,60,33,3.2,18,4,2024/6/14
PROD000323,打印机,数码配件,152.02,57,20,4.2,18,28,2024/5/21
PROD000324,鼠标,手机通讯,117.36,41,30,3.4,20,26,2024/5/23
PROD000325,机械键盘,家用电器,331.87,56,21,3.2,22,5,2024/6/13
PROD000326,机械键盘,存储设备,136.45,51,34,3.4,20,3,2024/6/15
PROD000327,内存条,投影设备,95.89,44,36,4,19,23,2024/5/26
PROD000328,内存条,电脑办公,156.78,49,30,3.7,18,2,2024/6/16
PROD000329,显示器,存储设备,177.86,59,29,4.4,12,20,2024/5/29
PROD000330,显示器,家用电器,137.78,50,18,4.2,14,28,2024/5/21
PROD000331,笔记本电脑,智能家居,220.32,41,31,3.7,25,4,2024/6/14
PROD000332,内存条,电源配件,239.77,44,28,4,25,29,2024/5/20
PROD000333,充电器,存储设备,118.98,59,29,3.5,19,3,2024/6/15
PROD000334,固态硬盘,外设产品,122.45,46,31,4.8,14,23,2024/5/26
PROD000335,充电器,存储设备,200.14,55,29,4.5,19,13,2024/6/5
PROD000336,显示器,存储设备,139.18,50,32,3.7,18,9,2024/6/9
PROD000337,内存条,影音娱乐,119.28,61,37,4.5,20,7,2024/6/11
PROD000338,充电器,外设产品,142.42,64,32,3.3,30,6,2024/6/12
PROD000339,鼠标,电脑办公,185.22,39,37,4.5,20,2,2024/6/16
PROD000340,智能手机,数码配件,183.61,49,26,4,17,13,2024/6/5
PROD000341,路由器,电源配件,112.72,46,29,4.6,16,10,2024/6/8
PROD000342,耳机,手机通讯,152.82,49,25,4.2,13,17,2024/6/1
PROD000343,电视,影音娱乐,140.38,48,29,4,18,8,2024/6/10
PROD000344,耳机,外设产品,289.38,48,39,4,14,23,2024/5/26
PROD000345,鼠标,存储设备,242.68,48,34,4.8,17,7,2024/6/11
PROD000346,充电宝,存储设备,228.1,51,32,3.7,28,24,2024/5/25
PROD000347,无线耳机,数码配件,145.98,57,27,5,23,9,2024/6/9
PROD000348,内存条,外设产品,280.7,56,32,4,28,7,2024/6/11
PROD000349,笔记本电脑,家用电器,73.58,48,43,4.7,11,28,2024/5/21
PROD000350,笔记本电脑,电脑办公,338.2,48,26,3.6,18,23,2024/5/26
PROD000351,笔记本电脑,数码配件,283.62,56,34,5,23,22,2024/5/27
PROD000352,打印机,家用电器,167.91,50,31,5,17,19,2024/5/30
PROD000353,笔记本电脑,投影设备,94.28,64,25,4.5,17,14,2024/6/4
PROD000354,充电器,投影设备,89.2,51,26,3.6,22,14,2024/6/4
